ID_Insumo,Cantidad,Costo_Unitario,,,,,,,,,,,,,
INS-1761178047928,1,,,,,,,,,,,,,,
INS-1761178047929,6.2,,,,,,,,,,,,,,
INS-1761178047930,1.8,,,,,,,,,,,,,,
INS-1761178047932,0,,,,,,,,,,,,,,
INS-1761178047933,0,,,,,,,,,,,,,,
INS-1761178047934,15,,,,,,,,,,,,,,
INS-1761178047935,10,,,,,,,,,,,,,,
INS-1761178047936,1,,,,,,,,,,,,,,
INS-1761178047937,1,,,,,,,,,,,,,,
INS-1761178047938,1,,,,,,,,,,,,,,
INS-1761178047939,1,,,,,,,,,,,,,,
INS-1761178047940,1,,,,,,,,,,,,,,
INS-1761178047941,1,,,,,,,,,,,,,,
INS-1761178047942,1,,,,,,,,,,,,,,
INS-1761178047943,1,,,,,,,,,,,,,,
INS-1761178047944,1,,,,,,,,,,,,,,
INS-1761178047945,1,,,,,,,,,,,,,,
INS-1761178047946,1,,,,,,,,,,,,,,
INS-1761178047947,1,,,,,,,,,,,,,,
INS-1761178047948,1,,,,,,,,,,,,,,
INS-1761178047949,1,,,,,,,,,,,,,,
INS-1761178047950,1,,,,,,,,,,,,,,
INS-1761178047951,1,,,,,,,,,,,,,,
INS-1761178047952,1,,,,,,,,,,,,,,
INS-1761178047953,1,,,,,,,,,,,,,,
INS-1761178047954,,,,,,,,,,,,,,,
INS-1761178047955,1,,,,,,,,,,,,,,
INS-1761178047956,1,,,,,,,,,,,,,,
INS-1761178047957,1,,,,,,,,,,,,,,
INS-1761178047958,,,,,,,,,,,,,,,
INS-1761178047959,,,,,,,,,,,,,,,
INS-1761178047918,,,,,,,,,,,,,,,
INS-1761178047960,1,,,,,,,,,,,,,,
INS-1761178047961,1,,,,,,,,,,,,,,
INS-1761178047962,1,,,,,,,,,,,,,,
INS-1761178047963,1,,,,,,,,,,,,,,
INS-1761178047964,1,,,,,,,,,,,,,,
INS-1761178047965,,,,,,,,,,,,,,,
INS-1761178047966,1,,,,,,,,,,,,,,
INS-1761178047967,1,,,,,,,,,,,,,,
INS-1761178047968,,,,,,,,,,,,,,,
INS-1761178047969,1,,,,,,,,,,,,,,
INS-1761178047970,1,,,,,,,,,,,,,,
INS-1761178047971,1,,,,,,,,,,,,,,
INS-1761178047972,,,,,,,,,,,,,,,
INS-1761178047973,1,,,,,,,,,,,,,,
INS-1761178047974,1,,,,,,,,,,,,,,
INS-1761178047975,2,,,,,,,,,,,,,,
INS-1761178047976,1,,,,,,,,,,,,,,
INS-1761178047977,1,,,,,,,,,,,,,,
INS-1761178047978,,,,,,,,,,,,,,,
INS-1761178047979,1,,,,,,,,,,,,,,
INS-1761178047980,2,,,,,,,,,,,,,,
INS-1761178047981,,,,,,,,,,,,,,,
INS-1761178047982,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
